site.ID,nativeUS,totalcount,routeID,easting,northing
161_09,Native,118,161,525329,3572652
161_10,Native,421,161,526295,3572725
162_01,Native,271,162,526643,3567854
162_02,Native,283,162,527828,3567901
162_03,Native,259,162,526137,3568256
162_04,Native,232,162,527477,3568395
162_05,Native,305,162,525550,3569659
162_06,Native,295,162,526266,3569921
162_07,Native,221,162,527874,3569698
162_08,Native,275,162,525780,3570110
162_08a,Native,18,162,525800,3570296
162_09,Native,241,162,526480,3570940
162_10,Native,257,162,526289,3571454
163_01,Native,248,163,523041,3559695
163_02,Native,265,163,523733,3560096
163_03,Native,235,163,523926,3561537
163_04,Native,247,163,520064,3562841
163_05,Native,305,163,520790,3562780
163_06,Native,253,163,521656,3562640
163_07,Native,248,163,522104,3562683
163_08,Native,229,163,523159,3562166
163_09,Native,241,163,519192,3563744
163_10,Native,212,163,519664,3564689
163_11,Native,250,163,519646,3565717
163_12,Native,244,163,519029,3566160
164_01,Native,509,164,520553,3563826
164_02,Native,451,164,521609,3563745
