"","siteID","n","routeID","easting","northing"
"709","159_07",22,159,523130,3571220
"710","159_08",29,159,523662,3572655
"711","159_09",28,159,524194,3572114
"712","159_10",26,159,524375,3573490
"713","159_11",26,159,525284,3573548
"714","160_01",15,160,522526,3564718
"715","160_01a",33,160,522563,3564784
"716","160_02",36,160,521882,3565745
"717","160_03",36,160,522203,3565763
"718","160_04",15,160,523287,3564954
"719","160_04a",29,160,523470,3564964
"720","160_05",33,160,524542,3565023
"721","160_06",42,160,521752,3566407
"722","160_07",18,160,524672,3566531
"723","160_07a",30,160,524697,3566503
"724","160_08",50,160,525115,3567088
"725","160_09",61,160,526110,3566983
"726","160_10",20,160,527307,3566568
"727","160_10a",35,160,527355,3566306
"728","160_11",24,160,521294,3567658
"729","160_11a",30,160,521339,3567663
"730","161_01",45,161,524918,3567731
"731","161_02",41,161,525475,3567513
"732","161_03",34,161,524775,3568498
"733","161_04",38,161,525314,3568123
"734","161_05",21,161,524280,3569165
"735","161_05a",22,161,524374,3569360
"736","161_06",36,161,524647,3570420
"737","161_07",45,161,524270,3571556
"738","161_08",35,161,525756,3571388
"739","161_09",22,161,525329,3572652
"740","161_10",33,161,526295,3572725
"741","162_01",31,162,526643,3567854
"742","162_02",29,162,527828,3567901
"743","162_03",29,162,526137,3568256
"744","162_04",29,162,527477,3568395
"745","162_05",28,162,525550,3569659
"746","162_06",30,162,526266,3569921
"747","162_07",26,162,527874,3569698
"748","162_08",30,162,525780,3570110
"749","162_08a",11,162,525800,3570296
"750","162_09",25,162,526480,3570940
"751","162_10",25,162,526289,3571454
"752","163_01",34,163,523041,3559695
"753","163_02",26,163,523733,3560096
"754","163_03",32,163,523926,3561537
"755","163_04",29,163,520064,3562841
"756","163_05",26,163,520790,3562780
"757","163_06",27,163,521656,3562640
"758","163_07",28,163,522104,3562683
"759","163_08",30,163,523159,3562166
"760","163_09",30,163,519192,3563744
"761","163_10",32,163,519664,3564689
"762","163_11",24,163,519646,3565717
"763","163_12",26,163,519029,3566160
"764","164_01",21,164,520553,3563826
"765","164_02",28,164,521609,3563745
"766","164_03",30,164,522058,3563828
"767","164_04",27,164,523348,3563938
"768","164_05",23,164,520299,3564129
